regime,start,end,days
Neutral/Mixed Growth / Down Inflation,2012-12-14,2012-12-20,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2012-12-21,2013-01-22,23
Goldilocks / Expansion,2013-01-23,2013-02-25,24
Neutral/Mixed Growth / Neutral/Mixed Inflation,2013-02-26,2013-03-12,11
Goldilocks / Expansion,2013-03-13,2013-03-20,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2013-03-21,2013-04-17,20
Neutral/Mixed Growth / Down Inflation,2013-04-18,2013-05-23,26
Goldilocks / Expansion,2013-05-24,2013-06-05,9
Neutral/Mixed Growth / Down Inflation,2013-06-06,2013-07-04,21
Goldilocks / Expansion,2013-07-05,2013-08-19,32
Neutral/Mixed Growth / Neutral/Mixed Inflation,2013-08-20,2013-09-12,18
Goldilocks / Expansion,2013-09-13,2013-10-07,17
Neutral/Mixed Growth / Neutral/Mixed Inflation,2013-10-08,2013-10-31,18
Neutral/Mixed Growth / Down Inflation,2013-11-01,2013-11-26,18
Goldilocks / Expansion,2013-11-27,2013-12-10,10
Neutral/Mixed Growth / Down Inflation,2013-12-11,2013-12-24,10
Goldilocks / Expansion,2013-12-25,2014-01-28,25
Neutral/Mixed Growth / Neutral/Mixed Inflation,2014-01-29,2014-07-07,114
Goldilocks / Expansion,2014-07-08,2014-08-08,24
Neutral/Mixed Growth / Neutral/Mixed Inflation,2014-08-11,2014-08-19,7
Neutral/Mixed Growth / Down Inflation,2014-08-20,2014-10-15,41
Slowdown / Deflationary Slowdown,2014-10-16,2014-10-24,7
Neutral/Mixed Growth / Down Inflation,2014-10-27,2015-04-07,117
Neutral/Mixed Growth / Neutral/Mixed Inflation,2015-04-08,2015-04-14,5
Goldilocks / Expansion,2015-04-15,2015-05-11,19
Neutral/Mixed Growth / Neutral/Mixed Inflation,2015-05-12,2015-07-16,48
Neutral/Mixed Growth / Down Inflation,2015-07-17,2015-08-14,21
Slowdown / Deflationary Slowdown,2015-08-17,2015-08-25,7
Slowdown / Deflationary Slowdown + Stress Overlay,2015-08-26,2015-09-22,20
Slowdown / Deflationary Slowdown,2015-09-23,2015-10-27,25
Neutral/Mixed Growth / Down Inflation,2015-10-28,2016-01-11,54
Slowdown / Deflationary Slowdown,2016-01-12,2016-02-09,21
Slowdown / Deflationary Slowdown + Stress Overlay,2016-02-10,2016-02-18,7
Slowdown / Deflationary Slowdown,2016-02-19,2016-03-14,17
Down Growth / Neutral/Mixed Inflation,2016-03-15,2016-03-18,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-03-21,2016-04-18,21
Reflation,2016-04-19,2016-05-30,30
Neutral/Mixed Growth / Up Inflation,2016-05-31,2016-06-03,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-06-06,2016-08-11,49
Goldilocks / Expansion,2016-08-12,2016-08-22,7
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-08-23,2016-09-26,25
Goldilocks / Expansion,2016-09-27,2016-10-14,14
Neutral/Mixed Growth / Neutral/Mixed Inflation,2016-10-17,2016-11-17,24
Goldilocks / Expansion,2016-11-18,2016-12-14,19
Reflation,2016-12-15,2016-12-29,11
Goldilocks / Expansion,2016-12-30,2017-02-02,25
Reflation,2017-02-03,2017-02-21,13
Goldilocks / Expansion,2017-02-22,2017-03-08,11
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-03-09,2017-05-08,43
Neutral/Mixed Growth / Down Inflation,2017-05-09,2017-07-13,48
Goldilocks / Expansion,2017-07-14,2017-07-25,8
Neutral/Mixed Growth / Down Inflation,2017-07-26,2017-07-31,4
Neutral/Mixed Growth / Neutral/Mixed Inflation,2017-08-01,2017-11-15,77
Goldilocks / Expansion,2017-11-16,2018-03-27,94
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-03-28,2018-06-22,63
Goldilocks / Expansion,2018-06-25,2018-07-13,15
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-07-16,2018-09-27,54
Goldilocks / Expansion,2018-09-28,2018-10-09,8
Neutral/Mixed Growth / Neutral/Mixed Inflation,2018-10-10,2018-11-12,24
Neutral/Mixed Growth / Down Inflation,2018-11-13,2018-11-21,7
Slowdown / Deflationary Slowdown,2018-11-22,2018-12-28,27
Slowdown / Deflationary Slowdown + Stress Overlay,2018-12-31,2019-01-09,8
Slowdown / Deflationary Slowdown,2019-01-10,2019-02-12,24
Neutral/Mixed Growth / Down Inflation,2019-02-13,2019-02-20,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-02-21,2019-03-21,21
Goldilocks / Expansion,2019-03-22,2019-03-28,5
Neutral/Mixed Growth / Neutral/Mixed Inflation,2019-03-29,2019-05-23,40
